Nomor,Tanggal,Location Indicator,Nama UPT,Nama Bandara,Jam Operasional (jam),Jumlah Data Masuk,Ketersediaan Data (%),Catatan
70,2025-06-01,WAON,Syamsudin Noor,Tanjung Warukin,24,0,0.0,❌ Tidak ada data
71,2025-06-01,WAOO,Syamsudin Noor,Syamsudin Noor,24,0,0.0,❌ Tidak ada data
72,2025-06-01,WAPA,Amahai,Amahai,24,48,100.0,✅ Lengkap
73,2025-06-01,WAPC,Bandaneira,Bandaneira,24,24,50.0,✅ Lengkap
74,2025-06-01,WAPD,Pattimura,Dobo,24,0,0.0,❌ Tidak ada data
75,2025-06-01,WAPF,Karel Sadsuitubun,Karel Sadsuitubun,24,24,50.0,✅ Lengkap
76,2025-06-01,WAPG,Pattimura,Namrole,24,0,0.0,❌ Tidak ada data
77,2025-06-01,WAPM,Pattimura,Jos Orno Imsula,24,0,0.0,❌ Tidak ada data
78,2025-06-01,WAPN,Namlea,Namniwel,24,24,50.0,✅ Lengkap
79,2025-06-01,WAPO,Pattimura,Larat,24,0,0.0,❌ Tidak ada data
80,2025-06-01,WAPP,Pattimura,Pattimura,24,48,100.0,✅ Lengkap
81,2025-06-01,WAPS,Mathilda Batlayeri,Mathilda Batlayeri,24,24,50.0,✅ Lengkap
82,2025-06-01,WAPU,Kuffar,Kuffar,24,24,50.0,✅ Lengkap
83,2025-06-01,WAPV,Amahai,Wahai,24,0,0.0,❌ Tidak ada data
84,2025-06-01,WAQA,Nunukan,Nunukan,24,0,0.0,❌ Tidak ada data
85,2025-06-01,WAQC,Kalimarau,Maratua,24,0,0.0,❌ Tidak ada data
86,2025-06-01,WAQD,Tanjung Harapan,Tanjung Harapan,24,0,0.0,❌ Tidak ada data
87,2025-06-01,WAQJ,Yuvai Semaring,Yuvai Semaring,24,0,0.0,❌ Tidak ada data
88,2025-06-01,WAQL,Tanjung Harapan,Long Apung,24,0,0.0,❌ Tidak ada data
89,2025-06-01,WAQM,Tanjung Harapan,Kol. Robert Atty Bessing,24,0,0.0,❌ Tidak ada data
90,2025-06-01,WAQQ,Juwata,Juwata,24,0,0.0,❌ Tidak ada data
91,2025-06-01,WAQT,Kalimarau,Kalimarau,24,0,0.0,❌ Tidak ada data
92,2025-06-01,WARA,Lanud Abdulrachman Saleh,Abdulrachman Saleh,24,0,0.0,❌ Tidak ada data
93,2025-06-01,WARC,Ahmad Yani,Ngloram,24,0,0.0,❌ Tidak ada data
94,2025-06-01,WARD,Dhoho,Dhoho,24,0,0.0,❌ Tidak ada data
95,2025-06-01,WARE,Banyuwangi,Noto Hadinegoro,24,0,0.0,❌ Tidak ada data
96,2025-06-01,WARR,Juanda,Juanda,24,0,0.0,❌ Tidak ada data
97,2025-06-01,WART,Trunojoyo,Trunojoyo,24,0,0.0,❌ Tidak ada data
98,2025-06-01,WARW,Sangkapura,Harun Thohir,24,0,0.0,❌ Tidak ada data
99,2025-06-01,WASA,Domine Eduard Osok,Ayawasi,24,0,0.0,❌ Tidak ada data
100,2025-06-01,WASF,Torea,Siboru,24,40,83.33,✅ Lengkap
101,2025-06-01,WASI,Domine Eduard Osok,Inanwatan,24,0,0.0,❌ Tidak ada data
102,2025-06-01,WASK,Utarom,Utarom,24,23,47.92,⚠️ Kurang dari 50%
103,2025-06-01,WASN,Domine Eduard Osok,Marinda,24,0,0.0,❌ Tidak ada data
104,2025-06-01,WASO,Rendani,Babo,24,0,0.0,❌ Tidak ada data
105,2025-06-01,WASS,Domine Eduard Osok,Domine Eduard Osok,24,47,97.92,✅ Lengkap
106,2025-06-01,WAST,Domine Eduard Osok,Teminabuan,24,0,0.0,❌ Tidak ada data
107,2025-06-01,WASU,Domine Eduard Osok,Kambuaya,24,0,0.0,❌ Tidak ada data
108,2025-06-01,WATA,Eltari,A. A. Bere Tallo,24,0,0.0,❌ Tidak ada data
109,2025-06-01,WATB,Frans Sales Lega,Soa,24,0,0.0,❌ Tidak ada data
110,2025-06-01,WATC,Fransiskus Xaverius Seda,Fransiskus Xaverius Seda,24,0,0.0,❌ Tidak ada data
111,2025-06-01,WATE,Fransiskus Xaverius Seda,H. Hasan Aroeboesman,24,0,0.0,❌ Tidak ada data
112,2025-06-01,WATG,Frans Sales Lega,Frans Sales Lega,24,0,0.0,❌ Tidak ada data
113,2025-06-01,WATK,Umbu Mehang Kunda,Lede Kalumbang,24,0,0.0,❌ Tidak ada data
114,2025-06-01,WATL,Gewayantana,Gewayantana,24,0,0.0,❌ Tidak ada data
115,2025-06-01,WATM,Mali,Mali,24,0,0.0,❌ Tidak ada data
116,2025-06-01,WATO,Komodo,Komodo,24,0,0.0,❌ Tidak ada data
117,2025-06-01,WATQ,Pattimura,John Becker,24,0,0.0,❌ Tidak ada data
118,2025-06-01,WATR,David Constantijn Saudale,David Constantijn Saudale,24,0,0.0,❌ Tidak ada data
119,2025-06-01,WATS,Tardamu,Tardamu,24,0,0.0,❌ Tidak ada data
120,2025-06-01,WATT,Eltari,El Tari,24,0,0.0,❌ Tidak ada data
121,2025-06-01,WATU,Umbu Mehang Kunda,Umbu Mehang Kunda,24,0,0.0,❌ Tidak ada data
122,2025-06-01,WATW,Eltari,Wunopito,24,0,0.0,❌ Tidak ada data
123,2025-06-01,WAUB,Rendani,Bintuni,24,0,0.0,❌ Tidak ada data
124,2025-06-01,WAUU,Rendani,Rendani,24,48,100.0,✅ Lengkap
125,2025-06-01,WAUW,Rendani,Wasior,24,0,0.0,❌ Tidak ada data
126,2025-06-01,WAVD,Wamena,Nop Goliat Dekai,24,0,0.0,❌ Tidak ada data
127,2025-06-01,WAVV,Wamena,Wamena,24,49,102.08,✅ Lengkap
128,2025-06-01,WAWB,Beto Ambari,Betoambari,24,48,100.0,✅ Lengkap
129,2025-06-01,WAWD,Beto Ambari,Matahora,24,0,0.0,❌ Tidak ada data
130,2025-06-01,WAWH,Sultan Hasanuddin,H. Aroeppala,24,0,0.0,❌ Tidak ada data
131,2025-06-01,WAWN,Sultan Hasanuddin,Arung Palakka,24,0,0.0,❌ Tidak ada data
132,2025-06-01,WAWP,Sangia Ni Bandera,Sangia Nibandera,24,37,77.08,✅ Lengkap
133,2025-06-01,WAWR,Beto Ambari,Sugimanuru,24,0,0.0,❌ Tidak ada data
134,2025-06-01,WAWW,Lanud Haluoleo,Haluoleo,24,22,45.83,⚠️ Kurang dari 50%
135,2025-06-01,WAYE,Enarotali,Enarotali,24,16,33.33,⚠️ Kurang dari 50%
136,2025-06-01,WAYL,Mozez Kilangin,Ilaga,24,0,0.0,❌ Tidak ada data
137,2025-06-01,WAYY,Mozez Kilangin,Mozez Kilangin,24,48,100.0,✅ Lengkap
138,2025-06-01,WIBB,Sultan Syarif Kasim II,Sultan Syarif Kasim II,24,48,100.0,✅ Lengkap
139,2025-06-01,WIBD,Sultan Syarif Kasim II,Pinang Kampai,24,0,0.0,❌ Tidak ada data
140,2025-06-01,WIBG,Sultan Syarif Kasim II,Tuanku Tambusai,24,0,0.0,❌ Tidak ada data
141,2025-06-01,WIBJ,Japura,Japura,24,48,100.0,✅ Lengkap
142,2025-06-01,WICA,Kertajati,Kertajati,24,0,0.0,❌ Tidak ada data
143,2025-06-01,WICC,Lanud Husein Sastranegara,Husein Sastranegara,24,0,0.0,❌ Tidak ada data
144,2025-06-01,WICD,Kertajati,Cakrabhuwana,24,0,0.0,❌ Tidak ada data
145,2025-06-01,WICN,Tunggul Wulung,Nusawiru,24,0,0.0,❌ Tidak ada data
146,2025-06-01,WIDD,Hang Nadim,Hang Nadim,24,48,100.0,✅ Lengkap
147,2025-06-01,WIDL,Tarempa,Letung,24,0,0.0,❌ Tidak ada data
148,2025-06-01,WIDM,Tarempa,Matak,24,14,29.17,⚠️ Kurang dari 50%
149,2025-06-01,WIDN,Raja Hajji Fisabilillah,Raja Hajji Fisabilillah,24,48,100.0,✅ Lengkap
150,2025-06-01,WIDO,Lanud Raden Sadjad,Ranai,24,12,25.0,⚠️ Kurang dari 50%
151,2025-06-01,WIDS,Dabo,Dabo,24,24,50.0,✅ Lengkap
152,2025-06-01,WIDT,Raja Hajji Abdullah,Raja Hajji Abdullah,24,48,100.0,✅ Lengkap
153,2025-06-01,WIEB,Minangkabau,Mentawai,24,0,0.0,❌ Tidak ada data
154,2025-06-01,WIEE,Minangkabau,Minangkabau,24,47,97.92,✅ Lengkap
155,2025-06-01,WIGE,Fatmawati Soekarno,Enggano,24,0,0.0,❌ Tidak ada data
156,2025-06-01,WIGG,Fatmawati Soekarno,Fatmawati Soekarno,24,0,0.0,❌ Tidak ada data
157,2025-06-01,WIGM,Fatmawati Soekarno,Mukomuko,24,0,0.0,❌ Tidak ada data
158,2025-06-01,WIHH,Lanud Halim Perdanakusuma,Halim Perdana Kusuma,24,18,37.5,⚠️ Kurang dari 50%
159,2025-06-01,WIII,Soekarno Hatta,Soekarno Hatta,24,0,0.0,❌ Tidak ada data
160,2025-06-01,WIJB,Sultan Thaha,Muara Bungo,24,0,0.0,❌ Tidak ada data
161,2025-06-01,WIJI,Depati Parbo,Depati Parbo,24,0,0.0,❌ Tidak ada data
162,2025-06-01,WIJJ,Sultan Thaha,Sultan Thaha,24,0,0.0,❌ Tidak ada data
163,2025-06-01,WIKK,Depati Amir,Depati Amir,24,0,0.0,❌ Tidak ada data
164,2025-06-01,WIKT,H.AS. Hanandjoeddin,H.AS. Hanandjoeddin,24,0,0.0,❌ Tidak ada data
165,2025-06-01,WILL,Radin Inten II,Radin Inten II,24,0,0.0,❌ Tidak ada data
166,2025-06-01,WILP,Radin Inten II,Muhammad Taufiq Kiemas,24,0,0.0,❌ Tidak ada data
167,2025-06-01,WIMA,Malikussaleh,Malikussaleh,24,24,50.0,✅ Lengkap
168,2025-06-01,WIMB,Binaka,Binaka,24,48,100.0,✅ Lengkap
169,2025-06-01,WIME,Aek Godang,Aek Godang,24,48,100.0,✅ Lengkap
170,2025-06-01,WIMF,Kualanamu,Jenderal Besar Abdul Haris Nasution,24,0,0.0,❌ Tidak ada data
171,2025-06-01,WIML,Sultan Iskandar Muda,Lasikin,24,0,0.0,❌ Tidak ada data
172,2025-06-01,WIMM,Kualanamu,Kualanamu Internasional,24,48,100.0,✅ Lengkap
173,2025-06-01,WIMN,Silangit,Raja Sisingamangaraja XII,24,39,81.25,✅ Lengkap
174,2025-06-01,WIMP,Silangit,Sibisa,24,0,0.0,❌ Tidak ada data
175,2025-06-01,WIMS,FL Tobing,DR Ferdinand Lumban Tobing,24,48,100.0,✅ Lengkap
176,2025-06-01,WIMU,Sultan Iskandar Muda,Alas Leuser,24,0,0.0,❌ Tidak ada data
177,2025-06-01,WIOD,Singkawang,Singkawang,24,0,0.0,❌ Tidak ada data
178,2025-06-01,WIOG,Nangapinoh,Nangapinoh,24,0,0.0,❌ Tidak ada data
179,2025-06-01,WIOK,Rahadi Oesman,Rahadi Oesman,24,0,0.0,❌ Tidak ada data
180,2025-06-01,WIOO,Supadio,Supadio,24,0,0.0,❌ Tidak ada data
181,2025-06-01,WIOP,Pangsuma,Pangsuma,24,0,0.0,❌ Tidak ada data
182,2025-06-01,WIOS,Tebelian,Tebelian,24,0,0.0,❌ Tidak ada data
183,2025-06-01,WIPB,Sultan Mahmud Badaruddin II,Silampari,24,0,0.0,❌ Tidak ada data
184,2025-06-01,WIPO,Radin Inten II,Gatot Soebroto,24,0,0.0,❌ Tidak ada data
185,2025-06-01,WIPP,Sultan Mahmud Badaruddin II,Sultan Mahmud Badaruddin II,24,0,0.0,❌ Tidak ada data
186,2025-06-01,WIPY,Sultan Mahmud Badaruddin II,Atung Bungsu,24,0,0.0,❌ Tidak ada data
187,2025-06-01,WIRR,Budiarto,Budiarto,24,0,0.0,❌ Tidak ada data
188,2025-06-01,WITC,Cut Nyak Dhien Nagan Raya,Cut Nyak Dhien Nagan Raya,24,24,50.0,✅ Lengkap
189,2025-06-01,WITK,Sultan Iskandar Muda,Rembele,24,0,0.0,❌ Tidak ada data
190,2025-06-01,WITN,Maimun Saleh,Maimun Saleh,24,24,50.0,✅ Lengkap
191,2025-06-01,WITO,Sultan Iskandar Muda,Kuala Batu,24,0,0.0,❌ Tidak ada data
192,2025-06-01,WITT,Sultan Iskandar Muda,Sultan Iskandar Muda,24,48,100.0,✅ Lengkap
193,2025-06-02,WAAA,Sultan Hasanuddin,Sultan Hasanuddin,24,48,100.0,✅ Lengkap
194,2025-06-02,WABA,Nabire,Waghete,24,0,0.0,❌ Tidak ada data
195,2025-06-02,WABB,Frans Kaisiepo,Frans Kaisiepo,24,48,100.0,✅ Lengkap
196,2025-06-02,WABF,Frans Kaisiepo,Numfoor,24,0,0.0,❌ Tidak ada data
197,2025-06-02,WABG,Sentani,Kasonaweja,24,0,0.0,❌ Tidak ada data
198,2025-06-02,WABI,Nabire,Douw Aturure,24,36,75.0,✅ Lengkap
199,2025-06-02,WABO,Sudjarwo Tjondronegoro,Stevanus Rumbewas,24,24,50.0,✅ Lengkap
200,2025-06-02,WADB,Sultan Muhammad Salahuddin,Sultan Muhammad Salahuddin,24,0,0.0,❌ Tidak ada data
201,2025-06-02,WADD,I Gusti Ngurah Rai,I Gusti Ngurah Rai,24,0,0.0,❌ Tidak ada data
202,2025-06-02,WADL,Zainuddin Abdul Madjid,Zainuddin Abdul Madjid,24,0,0.0,❌ Tidak ada data
203,2025-06-02,WADS,Sultan Muhammad Kaharuddin,Sultan Muhammad Kaharuddin,24,0,0.0,❌ Tidak ada data
204,2025-06-02,WADY,Banyuwangi,Banyuwangi,24,0,0.0,❌ Tidak ada data
205,2025-06-02,WAEE,Sultan Babullah,Sultan Babullah,24,48,100.0,✅ Lengkap
206,2025-06-02,WAEG,Gamar Malamo,Gamar Malamo,24,24,50.0,✅ Lengkap
207,2025-06-02,WAEJ,Sultan Babullah,Gebe,24,0,0.0,❌ Tidak ada data
208,2025-06-02,WAEK,Sultan Babullah,Kuabang,24,0,0.0,❌ Tidak ada data
209,2025-06-02,WAEL,Oesman Sadik,Oesman Sadik,24,36,75.0,✅ Lengkap
210,2025-06-02,WAEM,Sultan Babullah,Buli,24,0,0.0,❌ Tidak ada data
211,2025-06-02,WAES,Emalamo,Emalamo,24,24,50.0,✅ Lengkap
212,2025-06-02,WAEW,Lanud Leo Wattimena,Pitu,24,23,47.92,⚠️ Kurang dari 50%
213,2025-06-02,WAFB,Toraja,Toraja,24,14,29.17,⚠️ Kurang dari 50%
214,2025-06-02,WAFD,Andi Jemma,Lagaligo,24,0,0.0,❌ Tidak ada data
215,2025-06-02,WAFF,Mutiara Sis-Al Jufri,Mutiara Sis-Al Jufri,24,48,100.0,✅ Lengkap
216,2025-06-02,WAFJ,Tampa Padang,Tampa Padang,24,48,100.0,✅ Lengkap
217,2025-06-02,WAFK,Andi Jemma,Rampi,24,0,0.0,❌ Tidak ada data
218,2025-06-02,WAFL,Sultan Bantilan,Sultan Bantilan,24,24,50.0,✅ Lengkap
219,2025-06-02,WAFM,Andi Jemma,Andi Jemma,24,48,100.0,✅ Lengkap
220,2025-06-02,WAFN,Andi Jemma,Seko,24,0,0.0,❌ Tidak ada data
221,2025-06-02,WAFO,Mutiara Sis-Al Jufri,Morowali,24,0,0.0,❌ Tidak ada data
222,2025-06-02,WAFP,Kasiguncu,Kasiguncu,24,24,50.0,✅ Lengkap
223,2025-06-02,WAFU,Syukuran Aminuddin Amir,Tanjung Api,24,0,0.0,❌ Tidak ada data
224,2025-06-02,WAFW,Syukuran Aminuddin Amir,Syukuran Aminuddin Amir,24,48,100.0,✅ Lengkap
225,2025-06-02,WAFY,Mutiara Sis-Al Jufri,Pogogul,24,0,0.0,❌ Tidak ada data
226,2025-06-02,WAFZ,Djalaluddin,Panua Pohuwato,24,0,0.0,❌ Tidak ada data
227,2025-06-02,WAGA,Tjilik Riwut,Kuala Kurun,24,0,0.0,❌ Tidak ada data
228,2025-06-02,WAGB,Beringin,Hajji Muhammad Sidik,24,0,0.0,❌ Tidak ada data
229,2025-06-02,WAGF,H. Asan,Kuala Pembuang,24,0,0.0,❌ Tidak ada data
230,2025-06-02,WAGG,Tjilik Riwut,Tjilik Riwut,24,0,0.0,❌ Tidak ada data
231,2025-06-02,WAGI,Iskandar,Iskandar,24,0,0.0,❌ Tidak ada data
232,2025-06-02,WAGM,Sanggu,Sanggu,24,0,0.0,❌ Tidak ada data
233,2025-06-02,WAGP,Beringin,Purukcahu,24,0,0.0,❌ Tidak ada data
234,2025-06-02,WAGS,H. Asan,H. Asan,24,0,0.0,❌ Tidak ada data
235,2025-06-02,WAHH,Lanud Adisutjipto,Adisutjipto,24,20,41.67,⚠️ Kurang dari 50%
236,2025-06-02,WAHI,Yogyakarta,Yogyakarta,24,48,100.0,✅ Lengkap
237,2025-06-02,WAHL,Tunggul Wulung,Tunggul Wulung,24,0,0.0,❌ Tidak ada data
238,2025-06-02,WAHQ,Lanud Adi Soemarmo,Adi Soemarmo,24,0,0.0,❌ Tidak ada data
239,2025-06-02,WAHS,Ahmad Yani,Jenderal Ahmad Yani,24,0,0.0,❌ Tidak ada data
240,2025-06-02,WAHU,Ahmad Yani,Dewadaru,24,0,0.0,❌ Tidak ada data
241,2025-06-02,WAJI,Torea,Mararena,24,15,31.25,⚠️ Kurang dari 50%
242,2025-06-02,WAJJ,Sentani,Sentani,24,48,100.0,✅ Lengkap
243,2025-06-02,WAJO,Wamena,Oksibil,24,0,0.0,❌ Tidak ada data
244,2025-06-02,WAJS,Sentani,Senggeh,24,0,0.0,❌ Tidak ada data
245,2025-06-02,WAKG,Mozez Kilangin,Ewer,24,0,0.0,❌ Tidak ada data
246,2025-06-02,WAKJ,Mopah,Kimaam,24,0,0.0,❌ Tidak ada data
247,2025-06-02,WAKK,Mopah,Mopah,24,48,100.0,✅ Lengkap
248,2025-06-02,WAKO,Mopah,Okaba,24,0,0.0,❌ Tidak ada data
249,2025-06-02,WAKP,Mopah,Kepi,24,0,0.0,❌ Tidak ada data
250,2025-06-02,WAKT,Tanah Merah,Tanah Merah,24,24,50.0,✅ Lengkap
251,2025-06-02,WALE,Sultan Aji Muhammad Sulaiman Sepinggan,Melak,24,0,0.0,❌ Tidak ada data
252,2025-06-02,WALL,Sultan Aji Muhammad Sulaiman Sepinggan,Sultan Aji Muhammad Sulaiman,24,0,0.0,❌ Tidak ada data
253,2025-06-02,WALS,Ajipangeran Tumenggung Pranoto,Ajipangeran Tumenggung Pranoto,24,0,0.0,❌ Tidak ada data
254,2025-06-02,WAMG,Djalaluddin,Djalaluddin,24,48,100.0,✅ Lengkap
255,2025-06-02,WAMH,Naha,Naha,24,48,100.0,✅ Lengkap
256,2025-06-02,WAMI,Sam Ratulangi,Bolaang Mongondow,24,0,0.0,❌ Tidak ada data
257,2025-06-02,WAMM,Sam Ratulangi,Sam Ratulangi,24,49,102.08,✅ Lengkap
258,2025-06-02,WAMN,Sam Ratulangi,Melonguane,24,18,37.5,⚠️ Kurang dari 50%
259,2025-06-02,WAMS,Sam Ratulangi,Miangas,24,0,0.0,❌ Tidak ada data
260,2025-06-02,WAOC,Gusti Syamsir Alam,Bersujud,24,0,0.0,❌ Tidak ada data
261,2025-06-02,WAOK,Gusti Syamsir Alam,Gusti Syamsir Alam,24,0,0.0,❌ Tidak ada data
262,2025-06-02,WAON,Syamsudin Noor,Tanjung Warukin,24,0,0.0,❌ Tidak ada data
263,2025-06-02,WAOO,Syamsudin Noor,Syamsudin Noor,24,0,0.0,❌ Tidak ada data
264,2025-06-02,WAPA,Amahai,Amahai,24,48,100.0,✅ Lengkap
265,2025-06-02,WAPC,Bandaneira,Bandaneira,24,24,50.0,✅ Lengkap
266,2025-06-02,WAPD,Pattimura,Dobo,24,0,0.0,❌ Tidak ada data
267,2025-06-02,WAPF,Karel Sadsuitubun,Karel Sadsuitubun,24,24,50.0,✅ Lengkap
268,2025-06-02,WAPG,Pattimura,Namrole,24,0,0.0,❌ Tidak ada data
269,2025-06-02,WAPM,Pattimura,Jos Orno Imsula,24,0,0.0,❌ Tidak ada data
270,2025-06-02,WAPN,Namlea,Namniwel,24,23,47.92,⚠️ Kurang dari 50%
271,2025-06-02,WAPO,Pattimura,Larat,24,0,0.0,❌ Tidak ada data
272,2025-06-02,WAPP,Pattimura,Pattimura,24,48,100.0,✅ Lengkap
273,2025-06-02,WAPS,Mathilda Batlayeri,Mathilda Batlayeri,24,24,50.0,✅ Lengkap
274,2025-06-02,WAPU,Kuffar,Kuffar,24,24,50.0,✅ Lengkap
275,2025-06-02,WAPV,Amahai,Wahai,24,0,0.0,❌ Tidak ada data
276,2025-06-02,WAQA,Nunukan,Nunukan,24,0,0.0,❌ Tidak ada data
